query,id,Text,Text_processed,Sentiment,SentimentB
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372249752557998085,RT @jude_bek: New preprint on our survey of people with Parkinson’s participating in online/digital dance classes during COVID  - with @dan…,rt judebek new preprint survey people parkinson participating onlinedigital dance class covid dan,0.1363636363636363,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372091561819787264,"RT @Yidi70797842: During the COVID-19 period, do you feel that the academic pressure of online classes is bigger than that of on-campus cla…",rt yidi covid period feel academic pressure online class bigger oncampus cla,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1368903969171509249,"Be Smart, Be Safe in Weathersfield, VT. March 8 edition includes: Signs of Spring; Vermont COVID-19 vaccine updates; CBHM Goes Virtual; Online classes, workshops and entertainment; COVID-19 Updates-National, Regional, Local; Town and School News and more. https://t.co/hGW9SuL6sG https://t.co/kEILSOk2J8",smart safe weathersfield vt march edition includes sign spring vermont covid vaccine update cbhm go virtual online class workshop entertainment covid updatesnational regional local town school news,0.2380952380952381,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371386665361547265,"@JharkhandCMO @DCEastSinghbhum 
Dear Sirs, In view of the new wave of COVID19 in various part of the nation please postpone the reopening of schools and continue with online classes.",dear sir view new wave covid various part nation please postpone reopening school continue online class,0.0681818181818181,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369607187597729794,"2nd week of march 2020, it's the time that all classes are suspended and started an online class bcs of covid-19, well then, in the end i also realize that it's been a year too that I'm stuck here in our home.. like what the, this mind of mine just ruined my reminiscing time😭",nd week march time class suspended started online class bcs covid well end also realize year im stuck home like mind mine ruined reminiscing time,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370415064902111234,"@VarshaEGaikwad 
Covid cases in Maharashtra is worry some. Appreciate the fact that students are able to continue with their education from home. But, in some schools teachers are forced to come to school and take online classes. Please allow teachers to work home home too.",covid case maharashtra worry appreciate fact student able continue education home school teacher forced come school take online class please allow teacher work home home,0.0999999999999999,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371821874699591690,"@IKGujralPTU,@capt_amarinder 
@cgcjhanjeri Despite u-turn of Covid 19, offline classes &amp; exams going on without social distancing, really u are seating in a volcano top which may any time erupt. Wherein all Engg.Institutes are taking online classes. @EduMinOfIndia",ikgujralptucaptamarinder cgcjhanjeri despite uturn covid offline class amp exam going without social distancing really u seating volcano top may time erupt wherein engginstitutes taking online class eduminofindia,0.2444444444444444,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1373013649653125124,"NEW: After teaching completely online since March '20 to mitigate the spread of COVID-19, #MitchellHamline is planning *some* on-campus instruction this summer and hoping for more in the fall. 

This is contingent on continued containing of the virus.

https://t.co/TASbh058pV",new teaching completely online since march mitigate spread covid planning oncampus instruction summer hoping fall contingent continued containing virus,0.0454545454545454,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370408023894544386,"One year ago, school has suspended its classes in PH due to covid and look where we at now: suffering at online classes. 🤦🏻‍♂️",one year ago school suspended class ph due covid look suffering online class,-0.125,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371826069041516546,"#PassAllMedicalStudents

Due to Covid-19, face-to-face educational activities of dentistry students have been disrupted around the world.

Online classes are being used to teach theoretical content. However, another concern is the interruption of education on laboratorial,",due covid facetoface educational activity dentistry student disrupted around worldonline class used teach theoretical content however another concern interruption education laboratorial,0.0416666666666666,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371174317841612815,"@IceJecht My life was flipped upside down 
covid brought me back here
cod and online classes are the only thing I got atm , at least that’s what it feels like",life flipped upside covid brought back herecod online class thing got atm least thats feel like,-0.15,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372794074479034373,"RT @SweetyMahale1: 1)Resurgence of COVID-19 : Student's life at high risk
2)Network connectivity problem 
in online classes
3)Inadequate of…",rt sweetymahale resurgence covid student life high risknetwork connectivity problem online classesinadequate,0.16,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371684834389729280,I really wonder what my college experience would’ve been like if COVID didn’t happen like I think about all the memories that I could’ve created had I not been sent home and had to do classes online like I really wonder if how different college would’ve been,really wonder college experience wouldve like covid happen like think memory couldve created sent home class online like really wonder different college wouldve,0.1333333333333333,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369820054859157510,"Please please covid I beg I wanted the life to be normal once again. I am sick and tired of distance learning, work from home, online classes, staying at home. I am losing my patience now. Unable to control my mind while staying home alone. This is extremely freaking",please please covid beg wanted life normal sick tired distance learning work home online class staying home losing patience unable control mind staying home alone extremely freaking,-0.3178571428571429,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372892926951456772,"Some private schools in response to the rise in #COVID19  cases are no longer holding physical classes, teaching is now exclusively online. 

What's happening with public schools? Any guidance from Ministry of Health or Education?",private school response rise case longer holding physical class teaching exclusively online whats happening public school guidance ministry health education,0.0,0.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372759824170061833,"@RsngShock Can you take any classes online? What if you moved out of the dorms, because....covid makes it make less sense, and just take one class online and work.",take class online moved dorm becausecovid make make le sense take one class online work,0.0,0.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372654987172532226,This is one reason why the talk of excitement about Digital is of deep concern to me. Around 50% of my yoga students aren’t able to access online classes due to digital access &amp;/or space. With talk of Covid restrictions lasting another 2yrs we need to sort this exclusion urgently https://t.co/F4pDesRceY,one reason talk excitement digital deep concern around yoga student able access online class due digital access ampor space talk covid restriction lasting another yr need sort exclusion urgently,0.0625,1.0
